Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-09-03 16:40:00,Win,Lose,Sydney Swans,Melbourne
2021-05-08 19:25:00,Lose,Win,Sydney Swans,Melbourne
2022-06-04 19:25:00,Win,Lose,Sydney Swans,Melbourne
2022-09-02 19:50:00,Win,Lose,Sydney Swans,Melbourne
2023-04-02 15:20:00,Lose,Win,Sydney Swans,Melbourne
2020-09-19 19:40:00,Win,Lose,Brisbane Lions,Carlton
2021-04-24 16:35:00,Win,Lose,Brisbane Lions,Carlton
2022-08-07 15:20:00,Win,Lose,Brisbane Lions,Carlton
2023-05-05 19:50:00,Win,Lose,Brisbane Lions,Carlton
2023-09-23 17:15:00,Win,Lose,Brisbane Lions,Carlton
2020-08-17 19:10:00,Lose,Win,Gold Coast Suns,Richmond
2021-07-01 19:20:00,Win,Lose,Gold Coast Suns,Richmond
2022-07-09 16:35:00,Win,Lose,Gold Coast Suns,Richmond
2023-04-30 15:20:00,Win,Lose,Gold Coast Suns,Richmond
2020-06-26 19:50:00,Win,Lose,GWS Giants,Collingwood
2021-04-10 19:25:00,Win,Lose,GWS Giants,Collingwood
2022-06-26 15:20:00,Lose,Win,GWS Giants,Collingwood
2023-05-14 16:40:00,Lose,Win,GWS Giants,Collingwood
2023-09-22 19:50:00,Lose,Win,GWS Giants,Collingwood
