Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-13 16:35:00,Lose,Win,Carlton,Melbourne
2021-05-16 15:20:00,Lose,Win,Carlton,Melbourne
2022-08-13 19:25:00,Lose,Win,Carlton,Melbourne
2023-06-02 19:50:00,Lose,Win,Carlton,Melbourne
2023-08-12 19:25:00,Win,Lose,Carlton,Melbourne
2020-08-14 19:50:00,Win,Lose,Geelong Cats,Port Adelaide
2020-10-01 19:40:00,Lose,Win,Geelong Cats,Port Adelaide
2021-06-10 19:40:00,Win,Lose,Geelong Cats,Port Adelaide
2021-08-27 19:50:00,Lose,Win,Geelong Cats,Port Adelaide
2022-05-21 13:45:00,Win,Lose,Geelong Cats,Port Adelaide
2020-08-22 20:10:00,Win,Lose,Fremantle,Sydney Swans
2021-05-22 19:40:00,Win,Lose,Fremantle,Sydney Swans
2021-07-25 12:30:00,Lose,Win,Fremantle,Sydney Swans
2022-07-16 19:30:00,Lose,Win,Fremantle,Sydney Swans
2023-05-13 13:45:00,Win,Lose,Fremantle,Sydney Swans
2020-09-06 13:05:00,Lose,Win,Hawthorn,St Kilda
2021-05-01 16:35:00,Lose,Win,Hawthorn,St Kilda
2022-04-10 15:20:00,Lose,Win,Hawthorn,St Kilda
2022-07-30 16:35:00,Lose,Win,Hawthorn,St Kilda
2023-05-27 13:45:00,Win,Lose,Hawthorn,St Kilda
2020-08-07 19:50:00,Lose,Win,Essendon,GWS Giants
2021-05-08 14:10:00,Lose,Win,Essendon,GWS Giants
2021-07-25 18:10:00,Lose,Win,Essendon,GWS Giants
2022-08-06 14:10:00,Lose,Win,Essendon,GWS Giants
2023-04-09 14:10:00,Win,Lose,Essendon,GWS Giants
2020-07-29 19:10:00,Win,Lose,Richmond,Western Bulldogs
2021-04-30 19:50:00,Win,Lose,Richmond,Western Bulldogs
2022-04-09 19:25:00,Win,Lose,Richmond,Western Bulldogs
2023-04-08 16:35:00,Lose,Win,Richmond,Western Bulldogs
2023-08-04 19:50:00,Lose,Win,Richmond,Western Bulldogs
2020-08-30 18:10:00,Win,Lose,Gold Coast Suns,North Melbourne
2021-03-27 20:10:00,Win,Lose,Gold Coast Suns,North Melbourne
2021-06-26 13:45:00,Lose,Win,Gold Coast Suns,North Melbourne
2022-06-04 16:35:00,Win,Lose,Gold Coast Suns,North Melbourne
2022-08-20 14:10:00,Win,Lose,Gold Coast Suns,North Melbourne
2020-07-26 15:35:00,Lose,Win,Collingwood,West Coast Eagles
2020-10-03 20:10:00,Win,Lose,Collingwood,West Coast Eagles
2021-04-16 20:10:00,Lose,Win,Collingwood,West Coast Eagles
2021-07-31 16:15:00,Win,Lose,Collingwood,West Coast Eagles
2022-04-09 16:35:00,Lose,Win,Collingwood,West Coast Eagles
2020-06-28 13:05:00,Lose,Win,Adelaide Crows,Brisbane Lions
2021-07-03 16:35:00,Lose,Win,Adelaide Crows,Brisbane Lions
2022-05-14 19:40:00,Lose,Win,Adelaide Crows,Brisbane Lions
2023-05-28 16:40:00,Win,Lose,Adelaide Crows,Brisbane Lions
2023-08-12 16:35:00,Lose,Win,Adelaide Crows,Brisbane Lions
