Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-25 19:40:00,Win,Lose,Western Bulldogs,Sydney Swans
2021-07-11 15:20:00,Lose,Win,Western Bulldogs,Sydney Swans
2022-03-31 19:20:00,Win,Lose,Western Bulldogs,Sydney Swans
2022-07-08 19:50:00,Lose,Win,Western Bulldogs,Sydney Swans
2023-07-13 19:20:00,Lose,Win,Western Bulldogs,Sydney Swans
2020-08-02 18:10:00,Win,Lose,Fremantle,Collingwood
2021-06-26 13:45:00,Win,Lose,Fremantle,Collingwood
2022-05-22 17:20:00,Lose,Win,Fremantle,Collingwood
2022-09-10 19:25:00,Lose,Win,Fremantle,Collingwood
2023-07-15 13:45:00,Lose,Win,Fremantle,Collingwood
2020-09-05 19:40:00,Lose,Win,North Melbourne,Port Adelaide
2021-03-21 13:10:00,Lose,Win,North Melbourne,Port Adelaide
2022-05-14 14:10:00,Lose,Win,North Melbourne,Port Adelaide
2023-05-13 14:10:00,Lose,Win,North Melbourne,Port Adelaide
2020-08-21 19:50:00,Win,Lose,Carlton,Gold Coast Suns
2021-04-10 19:25:00,Win,Lose,Carlton,Gold Coast Suns
2021-08-07 13:45:00,Lose,Win,Carlton,Gold Coast Suns
2022-04-10 16:10:00,Lose,Win,Carlton,Gold Coast Suns
2023-06-18 13:10:00,Win,Lose,Carlton,Gold Coast Suns
2020-03-21 19:40:00,Lose,Win,Geelong Cats,GWS Giants
2021-08-06 19:50:00,Lose,Win,Geelong Cats,GWS Giants
2021-09-03 19:50:00,Win,Lose,Geelong Cats,GWS Giants
2022-05-07 16:35:00,Win,Lose,Geelong Cats,GWS Giants
2023-05-27 16:35:00,Lose,Win,Geelong Cats,GWS Giants
2020-08-22 19:45:00,Win,Lose,Richmond,Essendon
2021-06-05 19:40:00,Win,Lose,Richmond,Essendon
2022-05-21 19:30:00,Win,Lose,Richmond,Essendon
2022-08-20 19:25:00,Win,Lose,Richmond,Essendon
2023-05-20 19:40:00,Lose,Win,Richmond,Essendon
2020-03-22 15:35:00,Win,Lose,Hawthorn,Brisbane Lions
2021-08-01 14:10:00,Win,Lose,Hawthorn,Brisbane Lions
2022-05-22 15:20:00,Win,Lose,Hawthorn,Brisbane Lions
2023-06-10 13:45:00,Win,Lose,Hawthorn,Brisbane Lions
2020-08-29 19:40:00,Win,Lose,Melbourne,St Kilda
2021-03-27 19:25:00,Win,Lose,Melbourne,St Kilda
2022-05-08 13:10:00,Win,Lose,Melbourne,St Kilda
2023-07-08 19:25:00,Win,Lose,Melbourne,St Kilda
2020-07-11 15:05:00,Lose,Win,Adelaide Crows,West Coast Eagles
2021-05-16 16:40:00,Lose,Win,Adelaide Crows,West Coast Eagles
2021-07-18 16:40:00,Lose,Win,Adelaide Crows,West Coast Eagles
2022-06-04 13:45:00,Win,Lose,Adelaide Crows,West Coast Eagles
2022-08-07 16:10:00,Win,Lose,Adelaide Crows,West Coast Eagles
