Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,James Sicily,2,26/03/2023,Swans,Loss 37-118,25,0,0
2022,James Sicily,6,25/04/2022,Swans,Loss 68-109,21,0,0
2023,Will Day,2,26/03/2023,Swans,Loss 37-118,26,0,0
2022,Will Day,6,25/04/2022,Swans,Loss 68-109,18,0,0
2021,Will Day,13,11/06/2021,Swans,Win 89-51,12,0,0
2023,Jai Newcombe,2,26/03/2023,Swans,Loss 37-118,25,0,1
2022,Jai Newcombe,6,25/04/2022,Swans,Loss 68-109,23,0,0
2021,Jai Newcombe,13,11/06/2021,Swans,Win 89-51,13,0,1
2023,Dylan Moore,2,26/03/2023,Swans,Loss 37-118,23,1,1
2022,Dylan Moore,6,25/04/2022,Swans,Loss 68-109,19,1,1
2021,Dylan Moore,13,11/06/2021,Swans,Win 89-51,18,2,0
2023,Karl Amon,2,26/03/2023,Swans,Loss 37-118,23,0,0
2022,Karl Amon,14,18/06/2022,Swans,Win 82-59,31,0,1
2021,Karl Amon,15,26/06/2021,Swans,Win 81-71,19,0,2
2023,James Worpel,2,26/03/2023,Swans,Loss 37-118,22,1,0
2022,James Worpel,6,25/04/2022,Swans,Loss 68-109,11,1,0
2021,James Worpel,13,11/06/2021,Swans,Win 89-51,18,0,0
2023,Conor Nash,2,26/03/2023,Swans,Loss 37-118,19,0,0
2022,Conor Nash,6,25/04/2022,Swans,Loss 68-109,14,0,1
2023,Blake Hardwick,2,26/03/2023,Swans,Loss 37-118,10,0,0
2022,Blake Hardwick,6,25/04/2022,Swans,Loss 68-109,17,0,0
2021,Blake Hardwick,13,11/06/2021,Swans,Win 89-51,18,0,0
2023,Jarman Impey,2,26/03/2023,Swans,Loss 37-118,23,0,0
2022,Jarman Impey,6,25/04/2022,Swans,Loss 68-109,2,0,0
2021,Jarman Impey,13,11/06/2021,Swans,Win 89-51,12,0,0
2022,Harry Morrison,6,25/04/2022,Swans,Loss 68-109,20,0,0
2021,Harry Morrison,13,11/06/2021,Swans,Win 89-51,8,1,0
2023,Josh Ward,2,26/03/2023,Swans,Loss 37-118,19,0,1
2022,Josh Ward,6,25/04/2022,Swans,Loss 68-109,14,0,0
2023,Connor Macdonald,2,26/03/2023,Swans,Loss 37-118,15,0,1
2022,Connor Macdonald,6,25/04/2022,Swans,Loss 68-109,9,1,0
2022,Jack Scrimshaw,6,25/04/2022,Swans,Loss 68-109,19,0,0
2021,Jack Scrimshaw,13,11/06/2021,Swans,Win 89-51,18,0,0
2023,Ned Reeves,2,26/03/2023,Swans,Loss 37-118,4,0,0
2022,Chad Wingard,6,25/04/2022,Swans,Loss 68-109,12,1,1
2021,Chad Wingard,13,11/06/2021,Swans,Win 89-51,18,1,0
2023,Luke Breust,2,26/03/2023,Swans,Loss 37-118,10,1,2
2022,Luke Breust,6,25/04/2022,Swans,Loss 68-109,5,2,0
2021,Luke Breust,13,11/06/2021,Swans,Win 89-51,11,2,0
2023,Lloyd Meek,2,26/03/2023,Swans,Loss 37-118,9,1,1
2021,Lloyd Meek,19,25/07/2021,Swans,Loss 58-98,9,0,0
2023,Changkuoth Jiath,2,26/03/2023,Swans,Loss 37-118,17,0,0
2021,Changkuoth Jiath,13,11/06/2021,Swans,Win 89-51,28,0,0
2022,Jack Gunston,6,25/04/2022,Swans,Loss 68-109,10,1,1
2023,Sam Frost,2,26/03/2023,Swans,Loss 37-118,6,0,0
2022,Sam Frost,6,25/04/2022,Swans,Loss 68-109,21,0,0
2021,Sam Frost,13,11/06/2021,Swans,Win 89-51,14,0,0
2023,Mabior Chol,1,18/03/2023,Swans,Loss 61-110,6,0,1
2022,Mabior Chol,8,07/05/2022,Swans,Win 75-61,6,1,1
2023,Cam Mackenzie,2,26/03/2023,Swans,Loss 37-118,12,0,1
2023,Sam Butler,2,26/03/2023,Swans,Loss 37-118,3,0,0
2023,Jack Ginnivan,8,07/05/2023,Swans,Win 77-48,6,1,0
2022,Jack Ginnivan,Preliminary Final,17/09/2022,Swans,Loss 94-95,7,1,0
2022,Jack Ginnivan,22,14/08/2022,Swans,Loss 50-77,7,1,0
2023,Finn Maginness,2,26/03/2023,Swans,Loss 37-118,10,0,0
2022,Finn Maginness,6,25/04/2022,Swans,Loss 68-109,14,0,1
2022,Massimo D'Ambrosio,16,02/07/2022,Swans,Win 95-86,23,0,0
2022,Denver Grainger-Barras,6,25/04/2022,Swans,Loss 68-109,10,0,0
2023,James Blanck,2,26/03/2023,Swans,Loss 37-118,6,0,0
