Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Andrew Brayshaw,24,26/08/2023,Hawks,Win 93-56,33,1,0
2023,Andrew Brayshaw,8,06/05/2023,Hawks,Win 117-48,34,2,0
2022,Andrew Brayshaw,13,11/06/2022,Hawks,Win 95-82,37,1,0
2021,Andrew Brayshaw,17,10/07/2021,Hawks,Win 108-46,32,0,0
2021,Andrew Brayshaw,4,11/04/2021,Hawks,Win 96-81,15,0,0
2023,Caleb Serong,24,26/08/2023,Hawks,Win 93-56,32,0,1
2023,Caleb Serong,8,06/05/2023,Hawks,Win 117-48,24,0,1
2022,Caleb Serong,13,11/06/2022,Hawks,Win 95-82,33,0,0
2021,Caleb Serong,17,10/07/2021,Hawks,Win 108-46,30,0,0
2021,Caleb Serong,4,11/04/2021,Hawks,Win 96-81,23,0,0
2023,Luke Ryan,24,26/08/2023,Hawks,Win 93-56,21,0,0
2023,Luke Ryan,8,06/05/2023,Hawks,Win 117-48,27,0,0
2022,Luke Ryan,13,11/06/2022,Hawks,Win 95-82,27,0,0
2021,Luke Ryan,17,10/07/2021,Hawks,Win 108-46,23,0,0
2021,Luke Ryan,4,11/04/2021,Hawks,Win 96-81,17,0,0
2023,Sean Darcy,8,06/05/2023,Hawks,Win 117-48,11,0,0
2022,Sean Darcy,13,11/06/2022,Hawks,Win 95-82,16,0,0
2021,Sean Darcy,17,10/07/2021,Hawks,Win 108-46,25,0,0
2021,Sean Darcy,4,11/04/2021,Hawks,Win 96-81,14,3,2
2023,Hayden Young,24,26/08/2023,Hawks,Win 93-56,22,0,0
2023,Hayden Young,8,06/05/2023,Hawks,Win 117-48,26,0,0
2022,Hayden Young,13,11/06/2022,Hawks,Win 95-82,31,0,0
2023,Luke Jackson,24,26/08/2023,Hawks,Win 93-56,15,0,1
2023,Luke Jackson,8,06/05/2023,Hawks,Win 117-48,24,2,1
2021,Luke Jackson,18,17/07/2021,Hawks,Draw 79-79,7,0,1
2021,Luke Jackson,5,18/04/2021,Hawks,Win 104-54,17,0,0
2023,Jordan Clark,24,26/08/2023,Hawks,Win 93-56,21,0,0
2023,Jordan Clark,8,06/05/2023,Hawks,Win 117-48,15,1,0
2022,Jordan Clark,13,11/06/2022,Hawks,Win 95-82,25,0,1
2021,Jordan Clark,3,05/04/2021,Hawks,Win 69-64,15,1,0
2023,Jaeger O'Meara,8,06/05/2023,Hawks,Win 117-48,26,0,0
2023,James Aish,24,26/08/2023,Hawks,Win 93-56,17,0,0
2023,James Aish,8,06/05/2023,Hawks,Win 117-48,23,0,1
2022,James Aish,13,11/06/2022,Hawks,Win 95-82,25,1,0
2021,James Aish,17,10/07/2021,Hawks,Win 108-46,16,0,0
