Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-09-04 19:50:00,Win,Lose,Brisbane Lions,Collingwood
2021-04-01 19:40:00,Win,Lose,Brisbane Lions,Collingwood
2021-08-14 19:25:00,Win,Lose,Brisbane Lions,Collingwood
2022-04-14 19:35:00,Win,Lose,Brisbane Lions,Collingwood
2023-04-06 19:35:00,Win,Lose,Brisbane Lions,Collingwood
2020-07-25 13:05:00,Lose,Win,North Melbourne,Carlton
2021-07-24 13:45:00,Win,Lose,North Melbourne,Carlton
2022-04-30 19:25:00,Lose,Win,North Melbourne,Carlton
2023-04-07 16:20:00,Lose,Win,North Melbourne,Carlton
2020-07-05 13:05:00,Win,Lose,Fremantle,Adelaide Crows
2021-04-18 13:10:00,Win,Lose,Fremantle,Adelaide Crows
2022-03-20 16:10:00,Win,Lose,Fremantle,Adelaide Crows
2023-04-08 13:45:00,Lose,Win,Fremantle,Adelaide Crows
2020-08-16 15:35:00,Lose,Win,Essendon,St Kilda
2021-04-03 16:35:00,Win,Lose,Essendon,St Kilda
2022-06-17 19:50:00,Win,Lose,Essendon,St Kilda
2023-04-01 19:25:00,Lose,Win,Essendon,St Kilda
2020-07-30 19:50:00,Win,Lose,Port Adelaide,Melbourne
2021-07-08 19:40:00,Lose,Win,Port Adelaide,Melbourne
2022-04-07 19:40:00,Lose,Win,Port Adelaide,Melbourne
2022-07-17 15:20:00,Lose,Win,Port Adelaide,Melbourne
2023-05-19 19:50:00,Win,Lose,Port Adelaide,Melbourne
2020-09-06 18:10:00,Win,Lose,Western Bulldogs,West Coast Eagles
2021-03-28 15:20:00,Win,Lose,Western Bulldogs,West Coast Eagles
2021-06-27 15:20:00,Win,Lose,Western Bulldogs,West Coast Eagles
2022-05-28 19:30:00,Win,Lose,Western Bulldogs,West Coast Eagles
2023-08-20 13:10:00,Lose,Win,Western Bulldogs,West Coast Eagles
2020-07-12 15:35:00,Win,Lose,Richmond,Sydney Swans
2021-04-03 13:45:00,Lose,Win,Richmond,Sydney Swans
2022-05-27 19:50:00,Lose,Win,Richmond,Sydney Swans
2023-04-14 20:10:00,Lose,Win,Richmond,Sydney Swans
2023-07-06 19:20:00,Win,Lose,Richmond,Sydney Swans
2020-06-12 19:50:00,Lose,Win,Hawthorn,Geelong Cats
2021-04-05 15:20:00,Lose,Win,Hawthorn,Geelong Cats
2022-04-18 15:20:00,Win,Lose,Hawthorn,Geelong Cats
2023-04-10 15:20:00,Lose,Win,Hawthorn,Geelong Cats
