Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-28 13:05:00,Win,Lose,Brisbane Lions,Adelaide Crows
2021-07-03 16:35:00,Win,Lose,Brisbane Lions,Adelaide Crows
2022-05-14 19:40:00,Win,Lose,Brisbane Lions,Adelaide Crows
2023-05-28 16:40:00,Lose,Win,Brisbane Lions,Adelaide Crows
2023-08-12 16:35:00,Win,Lose,Brisbane Lions,Adelaide Crows
2020-07-03 19:50:00,Lose,Win,Collingwood,Essendon
2021-04-25 15:20:00,Lose,Win,Collingwood,Essendon
2021-08-22 15:20:00,Lose,Win,Collingwood,Essendon
2022-04-25 15:20:00,Win,Lose,Collingwood,Essendon
2022-07-24 15:20:00,Win,Lose,Collingwood,Essendon
2020-06-12 19:50:00,Win,Lose,Geelong Cats,Hawthorn
2021-04-05 15:20:00,Win,Lose,Geelong Cats,Hawthorn
2022-04-18 15:20:00,Lose,Win,Geelong Cats,Hawthorn
2023-04-10 15:20:00,Win,Lose,Geelong Cats,Hawthorn
2020-09-03 19:10:00,Win,Lose,GWS Giants,Carlton
2021-06-19 19:25:00,Win,Lose,GWS Giants,Carlton
2021-08-21 19:45:00,Win,Lose,GWS Giants,Carlton
2022-05-15 15:20:00,Lose,Win,GWS Giants,Carlton
2022-07-24 13:10:00,Lose,Win,GWS Giants,Carlton
2020-03-22 18:40:00,Lose,Win,Melbourne,West Coast Eagles
2021-08-09 20:10:00,Win,Lose,Melbourne,West Coast Eagles
2022-05-15 17:20:00,Win,Lose,Melbourne,West Coast Eagles
2023-04-09 17:20:00,Win,Lose,Melbourne,West Coast Eagles
2020-08-30 18:10:00,Lose,Win,North Melbourne,Gold Coast Suns
2021-03-27 20:10:00,Lose,Win,North Melbourne,Gold Coast Suns
2021-06-26 13:45:00,Win,Lose,North Melbourne,Gold Coast Suns
2022-06-04 16:35:00,Lose,Win,North Melbourne,Gold Coast Suns
2022-08-20 14:10:00,Lose,Win,North Melbourne,Gold Coast Suns
2020-08-01 17:10:00,Win,Lose,St Kilda,Sydney Swans
2021-06-05 13:45:00,Lose,Win,St Kilda,Sydney Swans
2021-08-07 19:40:00,Win,Lose,St Kilda,Sydney Swans
2022-06-25 19:25:00,Lose,Win,St Kilda,Sydney Swans
2022-08-21 16:40:00,Lose,Win,St Kilda,Sydney Swans
2020-08-03 19:10:00,Win,Lose,Port Adelaide,Western Bulldogs
2021-05-15 19:40:00,Lose,Win,Port Adelaide,Western Bulldogs
2021-08-20 19:50:00,Win,Lose,Port Adelaide,Western Bulldogs
2021-09-11 19:40:00,Lose,Win,Port Adelaide,Western Bulldogs
2022-05-06 19:30:00,Win,Lose,Port Adelaide,Western Bulldogs
2020-09-02 19:10:00,Lose,Win,Fremantle,Richmond
2021-08-01 17:10:00,Win,Lose,Fremantle,Richmond
2022-07-22 19:50:00,Draw,Draw,Fremantle,Richmond
2023-06-10 19:25:00,Lose,Win,Fremantle,Richmond
