Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-09-19 17:10:00,Lose,Win,Adelaide Crows,Richmond
2021-05-30 14:10:00,Lose,Win,Adelaide Crows,Richmond
2022-04-16 16:35:00,Win,Lose,Adelaide Crows,Richmond
2023-03-25 16:35:00,Lose,Win,Adelaide Crows,Richmond
2020-08-08 19:40:00,Lose,Win,Western Bulldogs,Brisbane Lions
2021-04-10 13:35:00,Win,Lose,Western Bulldogs,Brisbane Lions
2021-09-04 19:20:00,Win,Lose,Western Bulldogs,Brisbane Lions
2022-06-30 19:20:00,Lose,Win,Western Bulldogs,Brisbane Lions
2023-03-30 19:20:00,Win,Lose,Western Bulldogs,Brisbane Lions
2020-07-05 18:10:00,Lose,Win,Hawthorn,GWS Giants
2021-06-27 13:10:00,Win,Lose,Hawthorn,GWS Giants
2022-07-03 15:20:00,Lose,Win,Hawthorn,GWS Giants
2023-04-16 15:20:00,Lose,Win,Hawthorn,GWS Giants
2023-07-08 16:35:00,Lose,Win,Hawthorn,GWS Giants
2020-09-17 19:10:00,Win,Lose,West Coast Eagles,North Melbourne
2021-07-12 19:40:00,Lose,Win,West Coast Eagles,North Melbourne
2022-03-27 13:10:00,Lose,Win,West Coast Eagles,North Melbourne
2023-03-18 13:45:00,Lose,Win,West Coast Eagles,North Melbourne
2023-07-30 16:40:00,Win,Lose,West Coast Eagles,North Melbourne
2020-08-06 20:10:00,Win,Lose,St Kilda,Gold Coast Suns
2021-05-08 13:45:00,Win,Lose,St Kilda,Gold Coast Suns
2022-04-16 13:45:00,Win,Lose,St Kilda,Gold Coast Suns
2023-04-08 19:30:00,Win,Lose,St Kilda,Gold Coast Suns
2023-07-15 14:10:00,Lose,Win,St Kilda,Gold Coast Suns
2020-09-20 15:35:00,Lose,Win,Sydney Swans,Geelong Cats
2021-05-01 19:25:00,Win,Lose,Sydney Swans,Geelong Cats
2022-03-25 19:50:00,Win,Lose,Sydney Swans,Geelong Cats
2022-09-24 14:30:00,Lose,Win,Sydney Swans,Geelong Cats
2023-04-22 19:25:00,Lose,Win,Sydney Swans,Geelong Cats
2020-06-27 19:40:00,Lose,Win,Essendon,Carlton
2021-05-02 15:20:00,Lose,Win,Essendon,Carlton
2022-06-10 19:50:00,Lose,Win,Essendon,Carlton
2023-06-11 19:15:00,Win,Lose,Essendon,Carlton
2020-08-15 17:10:00,Lose,Win,Collingwood,Melbourne
2021-06-14 15:20:00,Win,Lose,Collingwood,Melbourne
2022-06-13 15:20:00,Win,Lose,Collingwood,Melbourne
2022-08-05 19:50:00,Win,Lose,Collingwood,Melbourne
2023-06-12 15:20:00,Lose,Win,Collingwood,Melbourne
