Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-20 16:35:00,Lose,Win,St Kilda,Collingwood
2021-07-04 15:20:00,Win,Lose,St Kilda,Collingwood
2022-03-18 19:50:00,Lose,Win,St Kilda,Collingwood
2023-04-16 16:50:00,Lose,Win,St Kilda,Collingwood
2020-08-23 13:05:00,Lose,Win,Adelaide Crows,Geelong Cats
2021-03-20 16:35:00,Win,Lose,Adelaide Crows,Geelong Cats
2022-05-28 13:45:00,Lose,Win,Adelaide Crows,Geelong Cats
2023-05-06 14:10:00,Lose,Win,Adelaide Crows,Geelong Cats
2020-09-12 14:10:00,Lose,Win,North Melbourne,Fremantle
2021-04-24 20:15:00,Lose,Win,North Melbourne,Fremantle
2022-05-06 20:40:00,Lose,Win,North Melbourne,Fremantle
2023-03-25 19:30:00,Win,Lose,North Melbourne,Fremantle
2020-07-19 15:35:00,Lose,Win,Hawthorn,Melbourne
2021-04-18 15:20:00,Lose,Win,Hawthorn,Melbourne
2021-07-17 19:25:00,Draw,Draw,Hawthorn,Melbourne
2022-04-30 16:35:00,Lose,Win,Hawthorn,Melbourne
2023-05-13 16:35:00,Lose,Win,Hawthorn,Melbourne
2020-06-14 15:35:00,Lose,Win,Sydney Swans,Essendon
2021-04-08 19:20:00,Win,Lose,Sydney Swans,Essendon
2021-08-01 15:10:00,Win,Lose,Sydney Swans,Essendon
2022-05-14 19:25:00,Win,Lose,Sydney Swans,Essendon
2022-07-02 13:45:00,Lose,Win,Sydney Swans,Essendon
2020-07-23 19:40:00,Win,Lose,Western Bulldogs,Gold Coast Suns
2021-04-17 16:35:00,Win,Lose,Western Bulldogs,Gold Coast Suns
2021-07-17 16:35:00,Win,Lose,Western Bulldogs,Gold Coast Suns
2022-05-21 13:45:00,Win,Lose,Western Bulldogs,Gold Coast Suns
2023-05-27 19:25:00,Lose,Win,Western Bulldogs,Gold Coast Suns
2020-08-08 16:35:00,Lose,Win,Richmond,Port Adelaide
2020-10-16 19:50:00,Win,Lose,Richmond,Port Adelaide
2021-04-09 19:50:00,Lose,Win,Richmond,Port Adelaide
2022-06-09 19:20:00,Win,Lose,Richmond,Port Adelaide
2022-08-06 19:40:00,Win,Lose,Richmond,Port Adelaide
2020-08-23 18:10:00,Win,Lose,West Coast Eagles,GWS Giants
2021-05-23 13:10:00,Lose,Win,West Coast Eagles,GWS Giants
2022-05-22 14:10:00,Lose,Win,West Coast Eagles,GWS Giants
2023-03-26 18:20:00,Win,Lose,West Coast Eagles,GWS Giants
