Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Andrew Brayshaw,18,15/07/2023,Magpies,Loss 67-113,30,0,0
2022,Andrew Brayshaw,Semi Final,10/09/2022,Magpies,Loss 59-79,32,0,0
2022,Andrew Brayshaw,10,22/05/2022,Magpies,Loss 44-80,31,1,0
2021,Andrew Brayshaw,15,26/06/2021,Magpies,Win 91-79,24,1,0
2022,Caleb Serong,Semi Final,10/09/2022,Magpies,Loss 59-79,34,0,1
2022,Caleb Serong,10,22/05/2022,Magpies,Loss 44-80,29,0,0
2021,Caleb Serong,15,26/06/2021,Magpies,Win 91-79,16,0,0
2023,Luke Ryan,18,15/07/2023,Magpies,Loss 67-113,23,0,0
2022,Luke Ryan,Semi Final,10/09/2022,Magpies,Loss 59-79,23,0,0
2022,Luke Ryan,10,22/05/2022,Magpies,Loss 44-80,20,0,0
2021,Luke Ryan,15,26/06/2021,Magpies,Win 91-79,17,0,0
2023,Sean Darcy,18,15/07/2023,Magpies,Loss 67-113,9,0,0
2022,Sean Darcy,Semi Final,10/09/2022,Magpies,Loss 59-79,13,0,0
2022,Sean Darcy,10,22/05/2022,Magpies,Loss 44-80,21,0,0
2021,Sean Darcy,15,26/06/2021,Magpies,Win 91-79,18,0,1
2022,Hayden Young,Semi Final,10/09/2022,Magpies,Loss 59-79,21,0,0
2022,Hayden Young,10,22/05/2022,Magpies,Loss 44-80,16,0,0
2023,Luke Jackson,18,15/07/2023,Magpies,Loss 67-113,15,2,1
2022,Luke Jackson,21,05/08/2022,Magpies,Loss 89-96,17,0,0
2022,Luke Jackson,13,13/06/2022,Magpies,Loss 56-82,16,1,1
2021,Luke Jackson,13,14/06/2021,Magpies,Loss 63-80,21,2,0
2023,Jordan Clark,18,15/07/2023,Magpies,Loss 67-113,16,0,0
2022,Jordan Clark,Semi Final,10/09/2022,Magpies,Loss 59-79,18,0,0
2022,Jordan Clark,10,22/05/2022,Magpies,Loss 44-80,27,0,0
2023,Jaeger O'Meara,18,15/07/2023,Magpies,Loss 67-113,30,1,0
2022,Jaeger O'Meara,12,05/06/2022,Magpies,Loss 68-72,18,0,0
2021,Jaeger O'Meara,21,08/08/2021,Magpies,Win 97-78,27,1,0
2023,James Aish,18,15/07/2023,Magpies,Loss 67-113,18,0,0
2022,James Aish,Semi Final,10/09/2022,Magpies,Loss 59-79,14,0,0
2022,James Aish,10,22/05/2022,Magpies,Loss 44-80,16,0,0
2021,James Aish,15,26/06/2021,Magpies,Win 91-79,21,0,0
2023,Corey Wagner,18,15/07/2023,Magpies,Loss 67-113,15,0,0
2022,Brennan Cox,Semi Final,10/09/2022,Magpies,Loss 59-79,13,0,0
2022,Brennan Cox,10,22/05/2022,Magpies,Loss 44-80,17,0,0
2022,Will Brodie,Semi Final,10/09/2022,Magpies,Loss 59-79,17,0,0
2022,Will Brodie,10,22/05/2022,Magpies,Loss 44-80,36,1,1
2023,Sam Switkowski,18,15/07/2023,Magpies,Loss 67-113,7,0,0
2022,Sam Switkowski,Semi Final,10/09/2022,Magpies,Loss 59-79,9,0,0
2022,Sam Switkowski,10,22/05/2022,Magpies,Loss 44-80,12,1,0
2021,Sam Switkowski,15,26/06/2021,Magpies,Win 91-79,14,1,0
2022,Heath Chapman,Semi Final,10/09/2022,Magpies,Loss 59-79,17,0,0
2022,Heath Chapman,10,22/05/2022,Magpies,Loss 44-80,18,0,0
2022,Michael Frederick,Semi Final,10/09/2022,Magpies,Loss 59-79,8,2,0
2022,Michael Frederick,10,22/05/2022,Magpies,Loss 44-80,9,0,1
2023,Matthew Johnson,18,15/07/2023,Magpies,Loss 67-113,18,0,0
2023,Nathan O'Driscoll,18,15/07/2023,Magpies,Loss 67-113,7,0,0
2022,Nathan O'Driscoll,Semi Final,10/09/2022,Magpies,Loss 59-79,13,0,0
2023,Ethan Hughes,18,15/07/2023,Magpies,Loss 67-113,11,0,0
2023,Josh Treacy,18,15/07/2023,Magpies,Loss 67-113,7,3,0
2021,Josh Treacy,15,26/06/2021,Magpies,Win 91-79,4,1,1
2023,Neil Erasmus,18,15/07/2023,Magpies,Loss 67-113,26,0,1
2023,Michael Walters,18,15/07/2023,Magpies,Loss 67-113,5,0,2
2022,Michael Walters,Semi Final,10/09/2022,Magpies,Loss 59-79,11,2,0
2022,Michael Walters,10,22/05/2022,Magpies,Loss 44-80,19,1,1
2021,Michael Walters,15,26/06/2021,Magpies,Win 91-79,12,0,0
2023,Jye Amiss,18,15/07/2023,Magpies,Loss 67-113,3,1,0
2022,Jye Amiss,Semi Final,10/09/2022,Magpies,Loss 59-79,12,0,0
2023,Bailey Banfield,18,15/07/2023,Magpies,Loss 67-113,15,1,0
2022,Bailey Banfield,10,22/05/2022,Magpies,Loss 44-80,8,0,0
2023,Alex Pearce,18,15/07/2023,Magpies,Loss 67-113,10,0,0
2022,Alex Pearce,Semi Final,10/09/2022,Magpies,Loss 59-79,10,0,0
2022,Alex Pearce,10,22/05/2022,Magpies,Loss 44-80,11,0,0
2021,Alex Pearce,15,26/06/2021,Magpies,Win 91-79,11,0,0
2023,Sam Sturt,18,15/07/2023,Magpies,Loss 67-113,8,2,0
2022,Matt Taberner,10,22/05/2022,Magpies,Loss 44-80,7,0,0
2021,Matt Taberner,15,26/06/2021,Magpies,Win 91-79,4,0,0
2023,Brandon Walker,18,15/07/2023,Magpies,Loss 67-113,2,0,0
2022,Brandon Walker,Semi Final,10/09/2022,Magpies,Loss 59-79,19,0,0
2021,Brandon Walker,15,26/06/2021,Magpies,Win 91-79,10,0,1
2021,Josh Corbett,7,01/05/2021,Magpies,Win 79-55,16,4,2
2022,Jeremy Sharp,7,01/05/2022,Magpies,Loss 90-115,3,0,0
