Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-06-14 18:05:00,Win,Lose,St Kilda,Western Bulldogs
2020-10-03 16:40:00,Win,Lose,St Kilda,Western Bulldogs
2021-05-22 19:25:00,Lose,Win,St Kilda,Western Bulldogs
2022-07-15 19:50:00,Lose,Win,St Kilda,Western Bulldogs
2023-03-25 19:25:00,Win,Lose,St Kilda,Western Bulldogs
2020-07-26 13:05:00,Lose,Win,Adelaide Crows,Essendon
2021-07-09 19:50:00,Lose,Win,Adelaide Crows,Essendon
2022-04-10 13:10:00,Lose,Win,Adelaide Crows,Essendon
2023-07-09 15:20:00,Lose,Win,Adelaide Crows,Essendon
2020-09-21 19:15:00,Lose,Win,Collingwood,Port Adelaide
2021-05-23 15:20:00,Lose,Win,Collingwood,Port Adelaide
2021-07-23 19:10:00,Lose,Win,Collingwood,Port Adelaide
2022-07-30 13:45:00,Win,Lose,Collingwood,Port Adelaide
2023-03-25 13:45:00,Win,Lose,Collingwood,Port Adelaide
2020-09-03 19:10:00,Lose,Win,Carlton,GWS Giants
2021-06-19 19:25:00,Lose,Win,Carlton,GWS Giants
2021-08-21 19:45:00,Lose,Win,Carlton,GWS Giants
2022-05-15 15:20:00,Win,Lose,Carlton,GWS Giants
2022-07-24 13:10:00,Win,Lose,Carlton,GWS Giants
2020-07-09 19:40:00,Lose,Win,Brisbane Lions,Geelong Cats
2020-10-17 19:40:00,Lose,Win,Brisbane Lions,Geelong Cats
2021-03-26 19:50:00,Lose,Win,Brisbane Lions,Geelong Cats
2021-06-24 19:30:00,Win,Lose,Brisbane Lions,Geelong Cats
2022-04-08 19:50:00,Lose,Win,Brisbane Lions,Geelong Cats
2020-07-19 18:35:00,Win,Lose,West Coast Eagles,Fremantle
2021-05-02 16:40:00,Win,Lose,West Coast Eagles,Fremantle
2021-08-15 17:10:00,Lose,Win,West Coast Eagles,Fremantle
2022-04-03 18:20:00,Lose,Win,West Coast Eagles,Fremantle
2022-08-13 19:40:00,Lose,Win,West Coast Eagles,Fremantle
2020-07-18 16:35:00,Lose,Win,Sydney Swans,Gold Coast Suns
2021-04-24 13:45:00,Lose,Win,Sydney Swans,Gold Coast Suns
2021-08-21 13:45:00,Win,Lose,Sydney Swans,Gold Coast Suns
2022-05-07 13:45:00,Lose,Win,Sydney Swans,Gold Coast Suns
2023-03-18 20:00:00,Win,Lose,Sydney Swans,Gold Coast Suns
2020-06-28 18:10:00,Lose,Win,North Melbourne,Hawthorn
2021-05-15 14:10:00,Win,Lose,North Melbourne,Hawthorn
2022-03-20 13:10:00,Lose,Win,North Melbourne,Hawthorn
2022-07-23 13:45:00,Lose,Win,North Melbourne,Hawthorn
2023-04-01 13:45:00,Lose,Win,North Melbourne,Hawthorn
