Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-26 18:10:00,Lose,Win,Melbourne,Brisbane Lions
2021-06-04 19:50:00,Win,Lose,Melbourne,Brisbane Lions
2021-08-28 19:30:00,Win,Lose,Melbourne,Brisbane Lions
2022-06-23 19:20:00,Win,Lose,Melbourne,Brisbane Lions
2022-08-19 19:50:00,Win,Lose,Melbourne,Brisbane Lions
2020-07-17 19:50:00,Win,Lose,Western Bulldogs,Essendon
2021-08-08 15:20:00,Lose,Win,Western Bulldogs,Essendon
2021-08-29 15:20:00,Win,Lose,Western Bulldogs,Essendon
2022-05-01 15:20:00,Win,Lose,Western Bulldogs,Essendon
2023-07-21 19:50:00,Win,Lose,Western Bulldogs,Essendon
2020-09-18 19:50:00,Lose,Win,GWS Giants,St Kilda
2021-03-21 15:20:00,Lose,Win,GWS Giants,St Kilda
2022-04-22 19:50:00,Lose,Win,GWS Giants,St Kilda
2023-05-21 16:40:00,Lose,Win,GWS Giants,St Kilda
2023-09-09 15:20:00,Win,Lose,GWS Giants,St Kilda
2020-09-13 13:05:00,Lose,Win,Carlton,Adelaide Crows
2021-06-27 16:10:00,Win,Lose,Carlton,Adelaide Crows
2022-05-08 16:40:00,Win,Lose,Carlton,Adelaide Crows
2022-07-30 19:30:00,Lose,Win,Carlton,Adelaide Crows
2023-04-13 19:40:00,Lose,Win,Carlton,Adelaide Crows
2020-09-20 13:05:00,Lose,Win,Gold Coast Suns,Hawthorn
2021-05-29 19:40:00,Win,Lose,Gold Coast Suns,Hawthorn
2022-05-28 19:40:00,Win,Lose,Gold Coast Suns,Hawthorn
2022-08-06 13:45:00,Lose,Win,Gold Coast Suns,Hawthorn
2023-06-25 16:40:00,Win,Lose,Gold Coast Suns,Hawthorn
2020-06-21 20:10:00,Win,Lose,Port Adelaide,Fremantle
2021-05-30 17:20:00,Win,Lose,Port Adelaide,Fremantle
2022-07-03 17:20:00,Lose,Win,Port Adelaide,Fremantle
2023-08-20 16:40:00,Win,Lose,Port Adelaide,Fremantle
2020-08-05 17:40:00,Win,Lose,Geelong Cats,North Melbourne
2021-04-18 16:40:00,Win,Lose,Geelong Cats,North Melbourne
2021-07-31 13:15:00,Win,Lose,Geelong Cats,North Melbourne
2022-04-24 13:10:00,Win,Lose,Geelong Cats,North Melbourne
2022-07-02 19:25:00,Win,Lose,Geelong Cats,North Melbourne
2020-08-27 19:10:00,Lose,Win,West Coast Eagles,Richmond
2021-06-13 19:20:00,Win,Lose,West Coast Eagles,Richmond
2022-04-29 20:10:00,Lose,Win,West Coast Eagles,Richmond
2022-07-03 14:10:00,Lose,Win,West Coast Eagles,Richmond
2023-05-06 13:45:00,Lose,Win,West Coast Eagles,Richmond
