Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-16 20:10:00,Win,Lose,Collingwood,Geelong Cats
2020-10-10 19:40:00,Lose,Win,Collingwood,Geelong Cats
2021-05-29 13:45:00,Lose,Win,Collingwood,Geelong Cats
2022-04-02 19:25:00,Lose,Win,Collingwood,Geelong Cats
2022-09-03 16:35:00,Lose,Win,Collingwood,Geelong Cats
2020-03-21 19:40:00,Lose,Win,Gold Coast Suns,Port Adelaide
2021-06-19 13:45:00,Lose,Win,Gold Coast Suns,Port Adelaide
2022-06-26 16:10:00,Lose,Win,Gold Coast Suns,Port Adelaide
2023-07-08 19:40:00,Lose,Win,Gold Coast Suns,Port Adelaide
2020-08-10 20:40:00,Lose,Win,Hawthorn,Fremantle
2021-04-11 16:40:00,Lose,Win,Hawthorn,Fremantle
2021-07-10 13:45:00,Lose,Win,Hawthorn,Fremantle
2022-06-11 16:10:00,Lose,Win,Hawthorn,Fremantle
2023-05-06 19:30:00,Lose,Win,Hawthorn,Fremantle
2020-09-19 14:10:00,Win,Lose,Melbourne,Essendon
2021-06-26 19:25:00,Win,Lose,Melbourne,Essendon
2022-04-01 19:20:00,Win,Lose,Melbourne,Essendon
2023-04-15 16:10:00,Lose,Win,Melbourne,Essendon
2020-07-24 19:50:00,Lose,Win,Richmond,GWS Giants
2021-05-15 19:25:00,Win,Lose,Richmond,GWS Giants
2021-08-13 19:50:00,Lose,Win,Richmond,GWS Giants
2022-03-27 15:20:00,Win,Lose,Richmond,GWS Giants
2023-06-04 13:10:00,Win,Lose,Richmond,GWS Giants
2020-06-20 13:45:00,Win,Lose,Sydney Swans,North Melbourne
2021-08-14 19:40:00,Win,Lose,Sydney Swans,North Melbourne
2022-04-09 14:40:00,Win,Lose,Sydney Swans,North Melbourne
2022-08-07 13:10:00,Win,Lose,Sydney Swans,North Melbourne
2023-05-20 13:45:00,Win,Lose,Sydney Swans,North Melbourne
2020-07-12 18:45:00,Lose,Win,Western Bulldogs,Carlton
2021-05-09 15:20:00,Win,Lose,Western Bulldogs,Carlton
2022-03-24 19:20:00,Lose,Win,Western Bulldogs,Carlton
2023-05-13 19:30:00,Win,Lose,Western Bulldogs,Carlton
2020-07-20 19:40:00,Lose,Win,Adelaide Crows,St Kilda
2021-06-12 19:25:00,Win,Lose,Adelaide Crows,St Kilda
2022-05-21 19:30:00,Lose,Win,Adelaide Crows,St Kilda
2023-05-14 13:10:00,Win,Lose,Adelaide Crows,St Kilda
2020-06-20 19:40:00,Lose,Win,West Coast Eagles,Brisbane Lions
2021-08-21 16:35:00,Lose,Win,West Coast Eagles,Brisbane Lions
2022-05-07 19:25:00,Lose,Win,West Coast Eagles,Brisbane Lions
2023-07-08 13:45:00,Lose,Win,West Coast Eagles,Brisbane Lions
