Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Andrew Brayshaw,5,14/04/2023,Suns,Win 100-90,18,1,0
2022,Andrew Brayshaw,9,15/05/2022,Suns,Loss 33-69,26,0,0
2021,Andrew Brayshaw,13,12/06/2021,Suns,Win 76-49,29,0,1
2023,Caleb Serong,5,14/04/2023,Suns,Win 100-90,37,0,0
2022,Caleb Serong,9,15/05/2022,Suns,Loss 33-69,26,0,1
2021,Caleb Serong,13,12/06/2021,Suns,Win 76-49,19,0,0
2023,Luke Ryan,5,14/04/2023,Suns,Win 100-90,17,0,0
2022,Luke Ryan,9,15/05/2022,Suns,Loss 33-69,19,0,0
2021,Luke Ryan,13,12/06/2021,Suns,Win 76-49,29,0,0
2023,Sean Darcy,5,14/04/2023,Suns,Win 100-90,18,0,1
2022,Sean Darcy,9,15/05/2022,Suns,Loss 33-69,9,1,0
2021,Sean Darcy,13,12/06/2021,Suns,Win 76-49,17,1,1
2023,Hayden Young,5,14/04/2023,Suns,Win 100-90,18,0,0
2022,Hayden Young,9,15/05/2022,Suns,Loss 33-69,23,0,0
2023,Luke Jackson,5,14/04/2023,Suns,Win 100-90,13,2,0
2022,Luke Jackson,2,26/03/2022,Suns,Win 82-69,21,2,0
2021,Luke Jackson,20,01/08/2021,Suns,Win 128-30,17,4,0
2023,Jordan Clark,5,14/04/2023,Suns,Win 100-90,15,0,0
2022,Jordan Clark,9,15/05/2022,Suns,Loss 33-69,20,0,0
2023,Jaeger O'Meara,5,14/04/2023,Suns,Win 100-90,17,0,0
2022,Jaeger O'Meara,21,06/08/2022,Suns,Win 70-63,20,1,1
2023,James Aish,5,14/04/2023,Suns,Win 100-90,16,0,0
2022,James Aish,9,15/05/2022,Suns,Loss 33-69,24,0,0
2021,James Aish,13,12/06/2021,Suns,Win 76-49,31,0,0
2023,Corey Wagner,5,14/04/2023,Suns,Win 100-90,12,0,0
2023,Brennan Cox,5,14/04/2023,Suns,Win 100-90,14,0,0
2022,Brennan Cox,9,15/05/2022,Suns,Loss 33-69,19,0,1
2023,Will Brodie,5,14/04/2023,Suns,Win 100-90,16,0,0
2022,Will Brodie,9,15/05/2022,Suns,Loss 33-69,27,0,0
2023,Sam Switkowski,5,14/04/2023,Suns,Win 100-90,1,0,0
2022,Heath Chapman,9,15/05/2022,Suns,Loss 33-69,18,0,0
2023,Michael Frederick,5,14/04/2023,Suns,Win 100-90,12,0,1
2022,Michael Frederick,9,15/05/2022,Suns,Loss 33-69,13,1,0
2023,Matthew Johnson,5,14/04/2023,Suns,Win 100-90,15,1,0
2023,Ethan Hughes,5,14/04/2023,Suns,Win 100-90,10,0,0
2022,Josh Treacy,9,15/05/2022,Suns,Loss 33-69,6,0,0
2021,Josh Treacy,13,12/06/2021,Suns,Win 76-49,15,2,3
2022,Neil Erasmus,9,15/05/2022,Suns,Loss 33-69,13,1,1
2023,Michael Walters,5,14/04/2023,Suns,Win 100-90,13,4,1
2021,Michael Walters,13,12/06/2021,Suns,Win 76-49,15,1,1
2023,Jye Amiss,5,14/04/2023,Suns,Win 100-90,10,3,2
2023,Bailey Banfield,5,14/04/2023,Suns,Win 100-90,16,1,1
2022,Bailey Banfield,9,15/05/2022,Suns,Loss 33-69,11,0,0
2023,Alex Pearce,5,14/04/2023,Suns,Win 100-90,8,0,0
2022,Alex Pearce,9,15/05/2022,Suns,Loss 33-69,9,0,0
2021,Alex Pearce,13,12/06/2021,Suns,Win 76-49,16,0,0
2023,Sam Sturt,5,14/04/2023,Suns,Win 100-90,6,0,1
2023,Brandon Walker,5,14/04/2023,Suns,Win 100-90,16,0,0
2022,Brandon Walker,9,15/05/2022,Suns,Loss 33-69,2,0,0
2021,Brandon Walker,13,12/06/2021,Suns,Win 76-49,13,0,0
