Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-19 13:05:00,Win,Lose,Port Adelaide,Carlton
2021-04-17 19:25:00,Win,Lose,Port Adelaide,Carlton
2021-08-14 16:35:00,Win,Lose,Port Adelaide,Carlton
2022-04-17 13:40:00,Lose,Win,Port Adelaide,Carlton
2023-07-15 16:35:00,Lose,Win,Port Adelaide,Carlton
2020-03-20 19:50:00,Win,Lose,Collingwood,Western Bulldogs
2021-03-19 19:50:00,Lose,Win,Collingwood,Western Bulldogs
2022-05-13 19:50:00,Lose,Win,Collingwood,Western Bulldogs
2023-07-07 19:50:00,Win,Lose,Collingwood,Western Bulldogs
2020-09-01 17:40:00,Lose,Win,Hawthorn,Adelaide Crows
2021-04-25 12:30:00,Win,Lose,Hawthorn,Adelaide Crows
2021-07-24 19:40:00,Lose,Win,Hawthorn,Adelaide Crows
2022-07-10 15:20:00,Win,Lose,Hawthorn,Adelaide Crows
2023-04-23 13:10:00,Lose,Win,Hawthorn,Adelaide Crows
2020-09-10 19:10:00,Win,Lose,West Coast Eagles,St Kilda
2021-04-10 16:35:00,Lose,Win,West Coast Eagles,St Kilda
2021-07-24 16:35:00,Win,Lose,West Coast Eagles,St Kilda
2022-07-24 16:40:00,Lose,Win,West Coast Eagles,St Kilda
2023-07-02 16:40:00,Lose,Win,West Coast Eagles,St Kilda
2020-09-11 19:50:00,Lose,Win,Geelong Cats,Richmond
2020-10-24 19:30:00,Lose,Win,Geelong Cats,Richmond
2021-05-07 19:50:00,Win,Lose,Geelong Cats,Richmond
2021-07-25 15:20:00,Win,Lose,Geelong Cats,Richmond
2022-06-25 16:35:00,Win,Lose,Geelong Cats,Richmond
2020-09-07 19:10:00,Lose,Win,Melbourne,Fremantle
2021-03-20 13:45:00,Win,Lose,Melbourne,Fremantle
2022-05-28 16:35:00,Lose,Win,Melbourne,Fremantle
2022-07-29 20:10:00,Win,Lose,Melbourne,Fremantle
2023-05-27 14:10:00,Lose,Win,Melbourne,Fremantle
2020-08-12 19:10:00,Draw,Draw,Gold Coast Suns,Essendon
2021-08-15 15:20:00,Lose,Win,Gold Coast Suns,Essendon
2022-07-17 16:40:00,Lose,Win,Gold Coast Suns,Essendon
2023-03-26 15:20:00,Lose,Win,Gold Coast Suns,Essendon
