Year,Player Name,Round,Date,Opponent,Result,D,G,B
2022,Ben Paton,4,10/04/2022,Hawks,Win 142-73,16,0,0
2022,Tim Membrey,20,30/07/2022,Hawks,Win 75-63,16,1,2
2022,Tim Membrey,4,10/04/2022,Hawks,Win 142-73,15,4,1
2021,Tim Membrey,7,01/05/2021,Hawks,Win 128-59,17,2,2
2023,Dougal Howard,11,27/05/2023,Hawks,Loss 78-88,16,0,0
2022,Dougal Howard,4,10/04/2022,Hawks,Win 142-73,16,0,0
2021,Dougal Howard,7,01/05/2021,Hawks,Win 128-59,15,0,0
2023,Mattaes Phillipou,20,30/07/2023,Hawks,Win 122-93,13,0,1
2023,Mattaes Phillipou,11,27/05/2023,Hawks,Loss 78-88,11,1,0
2023,Riley Bonner,12,03/06/2023,Hawks,Win 151-96,16,0,1
2022,Riley Bonner,2,26/03/2022,Hawks,Loss 56-120,25,0,0
2021,Riley Bonner,16,03/07/2021,Hawks,Win 87-53,17,0,1
2023,Anthony Caminiti,20,30/07/2023,Hawks,Win 122-93,8,2,0
2023,Anthony Caminiti,11,27/05/2023,Hawks,Loss 78-88,7,1,0
2023,Cooper Sharman,20,30/07/2023,Hawks,Win 122-93,8,2,1
2023,Cooper Sharman,11,27/05/2023,Hawks,Loss 78-88,7,1,0
2022,Cooper Sharman,20,30/07/2022,Hawks,Win 75-63,8,0,0
2023,Zaine Cordy,20,30/07/2023,Hawks,Win 122-93,6,1,0
2022,Zaine Cordy,23,21/08/2022,Hawks,Win 87-64,12,0,0
2021,Zaine Cordy,22,14/08/2021,Hawks,Loss 37-64,10,0,0
2021,Tom Campbell,9,15/05/2021,Hawks,Win 87-80,10,0,1
