Year,Player Name,Round,Date,Opponent,Result,D,G,B
2021,Jarryd Lyons,19,24/07/2021,Suns,Win 120-71,33,0,1
2021,Jarryd Lyons,9,15/05/2021,Suns,Win 124-51,37,0,0
2023,Jaspa Fletcher,20,29/07/2023,Suns,Loss 55-96 ,9,0,0
2023,Brandon Starcevich,20,29/07/2023,Suns,Loss 55-96,12,0,0
2023,Brandon Starcevich,10,20/05/2023,Suns,Win 107-64,13,0,0
2022,Brandon Starcevich,19,23/07/2022,Suns,Win 110-93,14,0,0
2022,Brandon Starcevich,6,24/04/2022,Suns,Win 132-80,19,0,0
2021,Brandon Starcevich,19,24/07/2021,Suns,Win 120-71,11,0,0
2021,Brandon Starcevich,9,15/05/2021,Suns,Win 124-51,20,0,0
2023,Jack Payne,20,29/07/2023,Suns,Loss 55-96,7,0,0
2023,Jack Payne,10,20/05/2023,Suns,Win 107-64,15,0,0
2021,Jack Payne,19,24/07/2021,Suns,Win 120-71,12,0,0
2022,Darcy Fort,19,23/07/2022,Suns,Win 110-93,0,0,0
2022,Darcy Fort,6,24/04/2022,Suns,Win 132-80,9,1,0
2022,Jaxon Prior,6,24/04/2022,Suns,Win 132-80,6,1,0
2021,Jaxon Prior,9,15/05/2021,Suns,Win 124-51,10,1,0
2022,Darcy Gardiner,19,23/07/2022,Suns,Win 110-93,14,0,0
2022,Darcy Gardiner,6,24/04/2022,Suns,Win 132-80,14,0,0
2021,Darcy Gardiner,9,15/05/2021,Suns,Win 124-51,17,0,0
2021,Deven Robertson,19,24/07/2021,Suns,Win 120-71,10,0,0
2021,Deven Robertson,9,15/05/2021,Suns,Win 124-51,18,0,0
2022,Noah Answerth,19,23/07/2022,Suns,Win 110-93,13,0,0
2022,Noah Answerth,6,24/04/2022,Suns,Win 132-80,14,0,0
2021,Darragh Joyce,8,08/05/2021,Suns,Win 63-54,9,0,0
2023,Kai Lohmann,20,29/07/2023,Suns,Loss 55-96,11,1,0
2022,Kai Lohmann,6,24/04/2022,Suns,Win 132-80,4,0,1
2021,James Madden,19,24/07/2021,Suns,Win 120-71,12,0,0
2023,James Tunstill,20,29/07/2023,Suns,Loss 55-96,5,0,0
