Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-03-19 19:40:00,Lose,Win,Carlton,Richmond
2021-03-18 19:25:00,Lose,Win,Carlton,Richmond
2022-03-17 19:25:00,Win,Lose,Carlton,Richmond
2022-06-16 19:20:00,Lose,Win,Carlton,Richmond
2023-03-16 19:20:00,Draw,Draw,Carlton,Richmond
2020-08-06 17:40:00,Win,Lose,Collingwood,Sydney Swans
2021-05-15 13:45:00,Lose,Win,Collingwood,Sydney Swans
2022-08-14 15:20:00,Lose,Win,Collingwood,Sydney Swans
2022-09-17 16:45:00,Lose,Win,Collingwood,Sydney Swans
2023-05-07 15:20:00,Win,Lose,Collingwood,Sydney Swans
2020-08-27 16:40:00,Win,Lose,Essendon,Hawthorn
2021-03-20 19:25:00,Lose,Win,Essendon,Hawthorn
2021-06-20 15:20:00,Win,Lose,Essendon,Hawthorn
2022-05-07 19:25:00,Win,Lose,Essendon,Hawthorn
2023-03-19 15:20:00,Win,Lose,Essendon,Hawthorn
2020-06-14 13:05:00,Lose,Win,GWS Giants,North Melbourne
2021-06-13 15:20:00,Draw,Draw,GWS Giants,North Melbourne
2022-06-12 15:20:00,Win,Lose,GWS Giants,North Melbourne
2023-06-11 15:20:00,Win,Lose,GWS Giants,North Melbourne
2020-08-10 18:10:00,Win,Lose,Geelong Cats,St Kilda
2021-05-14 19:50:00,Win,Lose,Geelong Cats,St Kilda
2021-08-14 16:35:00,Win,Lose,Geelong Cats,St Kilda
2022-05-14 16:35:00,Lose,Win,Geelong Cats,St Kilda
2022-08-06 19:25:00,Win,Lose,Geelong Cats,St Kilda
2020-06-21 15:05:00,Win,Lose,Gold Coast Suns,Adelaide Crows
2021-04-02 19:50:00,Lose,Win,Gold Coast Suns,Adelaide Crows
2022-06-19 15:20:00,Win,Lose,Gold Coast Suns,Adelaide Crows
2023-06-03 19:30:00,Win,Lose,Gold Coast Suns,Adelaide Crows
2023-08-05 14:10:00,Lose,Win,Gold Coast Suns,Adelaide Crows
2020-08-22 13:45:00,Lose,Win,Melbourne,Western Bulldogs
2021-05-28 19:50:00,Win,Lose,Melbourne,Western Bulldogs
2021-07-24 19:25:00,Lose,Win,Melbourne,Western Bulldogs
2021-09-25 19:15:00,Win,Lose,Melbourne,Western Bulldogs
2022-03-16 19:10:00,Win,Lose,Melbourne,Western Bulldogs
2020-06-27 13:45:00,Win,Lose,Port Adelaide,West Coast Eagles
2021-04-03 20:10:00,Lose,Win,Port Adelaide,West Coast Eagles
2022-04-23 16:35:00,Win,Lose,Port Adelaide,West Coast Eagles
2023-04-22 13:45:00,Win,Lose,Port Adelaide,West Coast Eagles
2020-06-13 13:45:00,Lose,Win,Fremantle,Brisbane Lions
2021-05-09 16:40:00,Lose,Win,Fremantle,Brisbane Lions
2021-08-08 17:10:00,Lose,Win,Fremantle,Brisbane Lions
2022-06-05 17:20:00,Win,Lose,Fremantle,Brisbane Lions
2023-04-29 13:45:00,Lose,Win,Fremantle,Brisbane Lions
