Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-09-13 18:10:00,Win,Lose,Brisbane Lions,Sydney Swans
2021-03-20 19:45:00,Lose,Win,Brisbane Lions,Sydney Swans
2022-05-01 16:40:00,Win,Lose,Brisbane Lions,Sydney Swans
2023-06-16 19:50:00,Win,Lose,Brisbane Lions,Sydney Swans
2020-07-25 13:05:00,Win,Lose,Carlton,North Melbourne
2021-07-24 13:45:00,Lose,Win,Carlton,North Melbourne
2022-04-30 19:25:00,Win,Lose,Carlton,North Melbourne
2023-04-07 16:20:00,Win,Lose,Carlton,North Melbourne
2020-07-26 13:05:00,Win,Lose,Essendon,Adelaide Crows
2021-07-09 19:50:00,Win,Lose,Essendon,Adelaide Crows
2022-04-10 13:10:00,Win,Lose,Essendon,Adelaide Crows
2023-07-09 15:20:00,Win,Lose,Essendon,Adelaide Crows
2020-08-28 19:50:00,Win,Lose,Geelong Cats,Western Bulldogs
2021-06-18 19:50:00,Win,Lose,Geelong Cats,Western Bulldogs
2022-06-03 19:50:00,Win,Lose,Geelong Cats,Western Bulldogs
2022-07-30 19:25:00,Win,Lose,Geelong Cats,Western Bulldogs
2023-06-03 19:25:00,Win,Lose,Geelong Cats,Western Bulldogs
2020-08-02 15:35:00,Win,Lose,GWS Giants,Gold Coast Suns
2021-07-11 12:40:00,Lose,Win,GWS Giants,Gold Coast Suns
2022-04-02 16:35:00,Win,Lose,GWS Giants,Gold Coast Suns
2023-07-23 13:10:00,Win,Lose,GWS Giants,Gold Coast Suns
2020-07-10 19:50:00,Lose,Win,Hawthorn,Collingwood
2021-08-08 14:10:00,Win,Lose,Hawthorn,Collingwood
2022-06-05 14:10:00,Lose,Win,Hawthorn,Collingwood
2023-08-05 16:35:00,Win,Lose,Hawthorn,Collingwood
2020-09-10 19:10:00,Lose,Win,St Kilda,West Coast Eagles
2021-04-10 16:35:00,Win,Lose,St Kilda,West Coast Eagles
2021-07-24 16:35:00,Lose,Win,St Kilda,West Coast Eagles
2022-07-24 16:40:00,Win,Lose,St Kilda,West Coast Eagles
2023-07-02 16:40:00,Win,Lose,St Kilda,West Coast Eagles
2020-08-08 16:35:00,Win,Lose,Port Adelaide,Richmond
2020-10-16 19:50:00,Lose,Win,Port Adelaide,Richmond
2021-04-09 19:50:00,Win,Lose,Port Adelaide,Richmond
2022-06-09 19:20:00,Lose,Win,Port Adelaide,Richmond
2022-08-06 19:40:00,Lose,Win,Port Adelaide,Richmond
2020-09-07 19:10:00,Win,Lose,Fremantle,Melbourne
2021-03-20 13:45:00,Lose,Win,Fremantle,Melbourne
2022-05-28 16:35:00,Win,Lose,Fremantle,Melbourne
2022-07-29 20:10:00,Lose,Win,Fremantle,Melbourne
2023-05-27 14:10:00,Win,Lose,Fremantle,Melbourne
