Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-26 18:10:00,Win,Lose,Brisbane Lions,Melbourne
2021-06-04 19:50:00,Lose,Win,Brisbane Lions,Melbourne
2021-08-28 19:30:00,Lose,Win,Brisbane Lions,Melbourne
2022-06-23 19:20:00,Lose,Win,Brisbane Lions,Melbourne
2022-08-19 19:50:00,Lose,Win,Brisbane Lions,Melbourne
2020-09-06 15:35:00,Win,Lose,Geelong Cats,Essendon
2021-07-02 19:50:00,Win,Lose,Geelong Cats,Essendon
2022-03-19 14:10:00,Win,Lose,Geelong Cats,Essendon
2023-04-30 13:10:00,Win,Lose,Geelong Cats,Essendon
2023-07-15 19:25:00,Win,Lose,Geelong Cats,Essendon
2020-09-14 19:10:00,Lose,Win,Gold Coast Suns,Collingwood
2021-05-01 13:45:00,Win,Lose,Gold Coast Suns,Collingwood
2022-05-01 13:10:00,Lose,Win,Gold Coast Suns,Collingwood
2022-07-02 19:25:00,Lose,Win,Gold Coast Suns,Collingwood
2023-07-01 16:35:00,Lose,Win,Gold Coast Suns,Collingwood
2020-07-04 19:40:00,Lose,Win,North Melbourne,Western Bulldogs
2021-04-02 16:20:00,Lose,Win,North Melbourne,Western Bulldogs
2021-07-04 16:40:00,Lose,Win,North Melbourne,Western Bulldogs
2022-04-15 16:20:00,Lose,Win,North Melbourne,Western Bulldogs
2023-06-18 16:40:00,Lose,Win,North Melbourne,Western Bulldogs
2020-03-19 19:40:00,Win,Lose,Richmond,Carlton
2021-03-18 19:25:00,Win,Lose,Richmond,Carlton
2022-03-17 19:25:00,Lose,Win,Richmond,Carlton
2022-06-16 19:20:00,Win,Lose,Richmond,Carlton
2023-03-16 19:20:00,Draw,Draw,Richmond,Carlton
2020-07-25 19:40:00,Win,Lose,St Kilda,Port Adelaide
2021-04-25 18:40:00,Lose,Win,St Kilda,Port Adelaide
2021-07-17 13:45:00,Lose,Win,St Kilda,Port Adelaide
2022-04-30 19:25:00,Lose,Win,St Kilda,Port Adelaide
2023-04-28 19:50:00,Lose,Win,St Kilda,Port Adelaide
2020-08-22 20:10:00,Lose,Win,Sydney Swans,Fremantle
2021-05-22 19:40:00,Lose,Win,Sydney Swans,Fremantle
2021-07-25 12:30:00,Win,Lose,Sydney Swans,Fremantle
2022-07-16 19:30:00,Win,Lose,Sydney Swans,Fremantle
2023-05-13 13:45:00,Lose,Win,Sydney Swans,Fremantle
2020-09-08 17:40:00,Win,Lose,Adelaide Crows,GWS Giants
2021-05-01 14:10:00,Lose,Win,Adelaide Crows,GWS Giants
2022-04-30 14:10:00,Lose,Win,Adelaide Crows,GWS Giants
2023-03-19 13:10:00,Lose,Win,Adelaide Crows,GWS Giants
2023-07-15 19:40:00,Lose,Win,Adelaide Crows,GWS Giants
2020-08-16 18:10:00,Win,Lose,West Coast Eagles,Hawthorn
2021-05-09 13:10:00,Win,Lose,West Coast Eagles,Hawthorn
2022-07-17 13:10:00,Lose,Win,West Coast Eagles,Hawthorn
2023-05-21 13:10:00,Lose,Win,West Coast Eagles,Hawthorn
