Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-19 13:05:00,Lose,Win,Carlton,Port Adelaide
2021-04-17 19:25:00,Lose,Win,Carlton,Port Adelaide
2021-08-14 16:35:00,Lose,Win,Carlton,Port Adelaide
2022-04-17 13:40:00,Win,Lose,Carlton,Port Adelaide
2023-07-15 16:35:00,Win,Lose,Carlton,Port Adelaide
2020-06-11 19:40:00,Draw,Draw,Collingwood,Richmond
2021-07-11 16:10:00,Win,Lose,Collingwood,Richmond
2022-05-07 13:45:00,Lose,Win,Collingwood,Richmond
2023-03-31 19:50:00,Win,Lose,Collingwood,Richmond
2020-09-09 19:10:00,Lose,Win,Gold Coast Suns,Brisbane Lions
2021-05-15 16:35:00,Lose,Win,Gold Coast Suns,Brisbane Lions
2021-07-24 13:45:00,Lose,Win,Gold Coast Suns,Brisbane Lions
2022-04-24 16:10:00,Lose,Win,Gold Coast Suns,Brisbane Lions
2022-07-23 19:10:00,Lose,Win,Gold Coast Suns,Brisbane Lions
2020-09-12 19:40:00,Win,Lose,Melbourne,GWS Giants
2021-04-04 18:10:00,Win,Lose,Melbourne,GWS Giants
2021-07-03 13:45:00,Lose,Win,Melbourne,GWS Giants
2022-04-16 19:25:00,Win,Lose,Melbourne,GWS Giants
2023-07-02 15:20:00,Lose,Win,Melbourne,GWS Giants
2020-08-05 17:40:00,Lose,Win,North Melbourne,Geelong Cats
2021-04-18 16:40:00,Lose,Win,North Melbourne,Geelong Cats
2021-07-31 13:15:00,Lose,Win,North Melbourne,Geelong Cats
2022-04-24 13:10:00,Lose,Win,North Melbourne,Geelong Cats
2022-07-02 19:25:00,Lose,Win,North Melbourne,Geelong Cats
2020-08-16 15:35:00,Win,Lose,St Kilda,Essendon
2021-04-03 16:35:00,Lose,Win,St Kilda,Essendon
2022-06-17 19:50:00,Lose,Win,St Kilda,Essendon
2023-04-01 19:25:00,Win,Lose,St Kilda,Essendon
2020-06-25 19:40:00,Lose,Win,Sydney Swans,Western Bulldogs
2021-07-11 15:20:00,Win,Lose,Sydney Swans,Western Bulldogs
2022-03-31 19:20:00,Lose,Win,Sydney Swans,Western Bulldogs
2022-07-08 19:50:00,Win,Lose,Sydney Swans,Western Bulldogs
2023-07-13 19:20:00,Win,Lose,Sydney Swans,Western Bulldogs
2020-09-01 17:40:00,Win,Lose,Adelaide Crows,Hawthorn
2021-04-25 12:30:00,Lose,Win,Adelaide Crows,Hawthorn
2021-07-24 19:40:00,Win,Lose,Adelaide Crows,Hawthorn
2022-07-10 15:20:00,Lose,Win,Adelaide Crows,Hawthorn
2023-04-23 13:10:00,Win,Lose,Adelaide Crows,Hawthorn
2020-07-19 18:35:00,Lose,Win,Fremantle,West Coast Eagles
2021-05-02 16:40:00,Lose,Win,Fremantle,West Coast Eagles
2021-08-15 17:10:00,Win,Lose,Fremantle,West Coast Eagles
2022-04-03 18:20:00,Win,Lose,Fremantle,West Coast Eagles
2022-08-13 19:40:00,Win,Lose,Fremantle,West Coast Eagles
