Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tom Green,11,27/05/2023,Cats,Win 81-74,28,0,0
2022,Tom Green,8,07/05/2022,Cats,Loss 35-88,26,0,1
2023,Stephen Coniglio,11,27/05/2023,Cats,Win 81-74,26,0,1
2022,Stephen Coniglio,8,07/05/2022,Cats,Loss 35-88,16,0,0
2021,Stephen Coniglio,Semi Final,03/09/2021,Cats,Loss 68-103,14,0,1
2022,Josh Kelly,8,07/05/2022,Cats,Loss 35-88,27,0,1
2021,Josh Kelly,Semi Final,03/09/2021,Cats,Loss 68-103,25,1,0
2023,Lachie Whitfield,11,27/05/2023,Cats,Win 81-74,31,0,0
2022,Lachie Whitfield,8,07/05/2022,Cats,Loss 35-88,26,0,1
2021,Lachie Whitfield,Semi Final,03/09/2021,Cats,Loss 68-103,34,0,0
2021,Lachie Whitfield,21,06/08/2021,Cats,Win 84-65,34,0,0
2023,Kieren Briggs,11,27/05/2023,Cats,Win 81-74,17,1,0
2021,Kieren Briggs,21,06/08/2021,Cats,Win 84-65,9,0,0
2023,Toby Greene,11,27/05/2023,Cats,Win 81-74,19,4,2
2022,Toby Greene,8,07/05/2022,Cats,Loss 35-88,10,2,2
2021,Toby Greene,21,06/08/2021,Cats,Win 84-65,16,4,1
2023,Lachie Ash,11,27/05/2023,Cats,Win 81-74,26,0,0
2022,Lachie Ash,8,07/05/2022,Cats,Loss 35-88,14,0,0
2021,Lachie Ash,Semi Final,03/09/2021,Cats,Loss 68-103,21,0,0
2021,Lachie Ash,21,06/08/2021,Cats,Win 84-65,16,0,0
2023,Finn Callaghan,11,27/05/2023,Cats,Win 81-74,18,0,0
2022,Finn Callaghan,8,07/05/2022,Cats,Loss 35-88,15,0,0
2023,Jesse Hogan,11,27/05/2023,Cats,Win 81-74,19,0,2
2022,Jesse Hogan,8,07/05/2022,Cats,Loss 35-88,12,1,3
2022,Harry Himmelberg,8,07/05/2022,Cats,Loss 35-88,11,1,0
2021,Harry Himmelberg,Semi Final,03/09/2021,Cats,Loss 68-103,8,2,1
2021,Harry Himmelberg,21,06/08/2021,Cats,Win 84-65,18,2,1
2023,Callan Ward,11,27/05/2023,Cats,Win 81-74,19,0,0
2022,Callan Ward,8,07/05/2022,Cats,Loss 35-88,23,0,1
2021,Callan Ward,Semi Final,03/09/2021,Cats,Loss 68-103,22,1,0
2021,Callan Ward,21,06/08/2021,Cats,Win 84-65,24,0,0
2023,Harry Perryman,11,27/05/2023,Cats,Win 81-74,19,0,0
2022,Harry Perryman,8,07/05/2022,Cats,Loss 35-88,25,0,0
2021,Harry Perryman,Semi Final,03/09/2021,Cats,Loss 68-103,15,0,0
2021,Harry Perryman,21,06/08/2021,Cats,Win 84-65,19,0,1
2023,Brent Daniels,11,27/05/2023,Cats,Win 81-74,19,3,0
2021,Brent Daniels,21,06/08/2021,Cats,Win 84-65,11,0,0
2022,Isaac Cumming,8,07/05/2022,Cats,Loss 35-88,29,0,1
2021,Isaac Cumming,Semi Final,03/09/2021,Cats,Loss 68-103,16,0,0
2021,Isaac Cumming,21,06/08/2021,Cats,Win 84-65,34,0,1
2023,Connor Idun,11,27/05/2023,Cats,Win 81-74,19,0,0
2022,Connor Idun,8,07/05/2022,Cats,Loss 35-88,14,0,0
2021,Connor Idun,Semi Final,03/09/2021,Cats,Loss 68-103,11,0,0
2021,Connor Idun,21,06/08/2021,Cats,Win 84-65,13,0,0
2022,Nick Haynes,8,07/05/2022,Cats,Loss 35-88,9,0,0
2021,Nick Haynes,Semi Final,03/09/2021,Cats,Loss 68-103,21,1,0
2021,Nick Haynes,21,06/08/2021,Cats,Win 84-65,19,0,0
2023,Toby Bedford,11,27/05/2023,Cats,Win 81-74,14,1,0
2022,Toby Bedford,17,07/07/2022,Cats,Loss 63-91,5,1,0
2023,Xavier O'Halloran,11,27/05/2023,Cats,Win 81-74,13,0,0
2021,Xavier O'Halloran,21,06/08/2021,Cats,Win 84-65,15,0,1
2023,Jack Buckley,11,27/05/2023,Cats,Win 81-74,10,0,0
2022,Sam Taylor,8,07/05/2022,Cats,Loss 35-88,15,0,0
2021,Sam Taylor,Semi Final,03/09/2021,Cats,Loss 68-103,6,0,0
2021,Sam Taylor,21,06/08/2021,Cats,Win 84-65,21,0,0
2023,Jake Riccardi,11,27/05/2023,Cats,Win 81-74,6,3,0
2021,Jake Riccardi,21,06/08/2021,Cats,Win 84-65,9,0,0
2023,Callum M. Brown,11,27/05/2023,Cats,Win 81-74,11,0,0
2021,Callum M. Brown,21,06/08/2021,Cats,Win 84-65,6,2,0
2023,James Peatling,11,27/05/2023,Cats,Win 81-74,9,0,0
2021,James Peatling,Semi Final,03/09/2021,Cats,Loss 68-103,3,0,0
2021,James Peatling,21,06/08/2021,Cats,Win 84-65,11,0,0
2022,Cooper Hamilton,8,07/05/2022,Cats,Loss 35-88,10,0,0
2023,Ryan Angwin,11,27/05/2023,Cats,Win 81-74,11,0,0
2023,Josh Fahey,11,27/05/2023,Cats,Win 81-74,1,0,0
2023,Lachlan Keeffe,11,27/05/2023,Cats,Win 81-74,7,0,0
2022,Lachlan Keeffe,8,07/05/2022,Cats,Loss 35-88,8,0,0
2022,Adam Kennedy,8,07/05/2022,Cats,Loss 35-88,10,0,0
2023,Aaron Cadman,11,27/05/2023,Cats,Win 81-74,4,0,2
2021,Conor Stone,Semi Final,03/09/2021,Cats,Loss 68-103,8,2,1
2022,Braydon Preuss,8,07/05/2022,Cats,Loss 35-88,17,0,0
