Date,Home Team Outcome,Away Team Outcome,Home Team,Away Team
2020-07-04 16:35:00,Lose,Win,Gold Coast Suns,Geelong Cats
2021-05-22 14:10:00,Lose,Win,Gold Coast Suns,Geelong Cats
2022-08-13 16:35:00,Lose,Win,Gold Coast Suns,Geelong Cats
2023-04-02 14:10:00,Win,Lose,Gold Coast Suns,Geelong Cats
2020-09-08 20:10:00,Lose,Win,Sydney Swans,Carlton
2021-05-30 15:20:00,Win,Lose,Sydney Swans,Carlton
2022-05-20 19:50:00,Lose,Win,Sydney Swans,Carlton
2023-05-26 19:50:00,Win,Lose,Sydney Swans,Carlton
2023-09-08 19:50:00,Lose,Win,Sydney Swans,Carlton
2020-08-11 18:35:00,Win,Lose,Collingwood,Adelaide Crows
2021-06-05 16:35:00,Win,Lose,Collingwood,Adelaide Crows
2022-03-26 13:45:00,Win,Lose,Collingwood,Adelaide Crows
2022-07-16 13:45:00,Win,Lose,Collingwood,Adelaide Crows
2023-04-30 16:40:00,Win,Lose,Collingwood,Adelaide Crows
2020-06-19 19:50:00,Lose,Win,GWS Giants,Western Bulldogs
2021-04-23 19:50:00,Lose,Win,GWS Giants,Western Bulldogs
2022-06-18 19:25:00,Lose,Win,GWS Giants,Western Bulldogs
2022-08-13 13:45:00,Lose,Win,GWS Giants,Western Bulldogs
2023-05-06 19:25:00,Lose,Win,GWS Giants,Western Bulldogs
2020-07-11 12:35:00,Lose,Win,St Kilda,Fremantle
2021-08-22 12:15:00,Win,Lose,St Kilda,Fremantle
2022-03-27 18:20:00,Win,Lose,St Kilda,Fremantle
2022-07-09 19:25:00,Lose,Win,St Kilda,Fremantle
2023-03-19 16:40:00,Win,Lose,St Kilda,Fremantle
2020-08-04 19:10:00,Lose,Win,Brisbane Lions,Richmond
2020-10-02 19:50:00,Win,Lose,Brisbane Lions,Richmond
2021-05-21 19:50:00,Win,Lose,Brisbane Lions,Richmond
2021-07-16 20:05:00,Lose,Win,Brisbane Lions,Richmond
2022-07-31 15:20:00,Lose,Win,Brisbane Lions,Richmond
2020-07-11 19:40:00,Win,Lose,Essendon,North Melbourne
2021-05-23 16:40:00,Win,Lose,Essendon,North Melbourne
2021-07-18 12:35:00,Win,Lose,Essendon,North Melbourne
2022-07-31 16:40:00,Win,Lose,Essendon,North Melbourne
2023-06-04 16:40:00,Win,Lose,Essendon,North Melbourne
2020-08-22 16:35:00,Win,Lose,Port Adelaide,Hawthorn
2021-07-03 19:40:00,Win,Lose,Port Adelaide,Hawthorn
2022-03-26 19:40:00,Lose,Win,Port Adelaide,Hawthorn
2023-06-03 13:45:00,Win,Lose,Port Adelaide,Hawthorn
2020-03-22 18:40:00,Win,Lose,West Coast Eagles,Melbourne
2021-08-09 20:10:00,Lose,Win,West Coast Eagles,Melbourne
2022-05-15 17:20:00,Lose,Win,West Coast Eagles,Melbourne
2023-04-09 17:20:00,Lose,Win,West Coast Eagles,Melbourne
