Year,Player Name,Round,Date,Opponent,Result,D,G,B
2023,Tim Kelly,10,21/05/2023,Hawks,Loss 26-142,26,0,0
2022,Tim Kelly,18,17/07/2022,Hawks,Loss 77-102,21,1,0
2021,Tim Kelly,8,09/05/2021,Hawks,Win 98-60,25,1,0
2023,Liam Duggan,10,21/05/2023,Hawks,Loss 26-142,14,0,0
2022,Liam Duggan,18,17/07/2022,Hawks,Loss 77-102,20,0,0
2023,Dom Sheed,10,21/05/2023,Hawks,Loss 26-142,30,2,1
2021,Dom Sheed,8,09/05/2021,Hawks,Win 98-60,35,0,0
2023,Alex Witherden,10,21/05/2023,Hawks,Loss 26-142,28,0,0
2022,Alex Witherden,18,17/07/2022,Hawks,Loss 77-102,23,0,0
2021,Alex Witherden,8,09/05/2021,Hawks,Win 98-60,22,0,0
2023,Jayden Hunt,10,21/05/2023,Hawks,Loss 26-142,16,0,0
2022,Jayden Hunt,7,30/04/2022,Hawks,Win 91-81,9,0,0
2021,Jayden Hunt,18,17/07/2021,Hawks,Draw 79-79,16,1,1
2021,Jayden Hunt,5,18/04/2021,Hawks,Win 104-54,12,0,0
2023,Bailey J. Williams,10,21/05/2023,Hawks,Loss 26-142,12,0,0
2022,Bailey J. Williams,18,17/07/2022,Hawks,Loss 77-102,10,0,0
2021,Bailey J. Williams,8,09/05/2021,Hawks,Win 98-60,9,1,2
2023,Jake Waterman,10,21/05/2023,Hawks,Loss 26-142,19,0,0
2022,Jake Waterman,18,17/07/2022,Hawks,Loss 77-102,6,3,1
2021,Jake Waterman,8,09/05/2021,Hawks,Win 98-60,7,1,0
2023,Matt Flynn,5,16/04/2023,Hawks,Win 77-75,10,0,0
2022,Matt Flynn,16,03/07/2022,Hawks,Win 72-50,15,0,0
2021,Matt Flynn,15,27/06/2021,Hawks,Loss 72-90,14,0,1
2022,Liam Ryan,18,17/07/2022,Hawks,Loss 77-102,16,1,1
2023,Andrew Gaff,10,21/05/2023,Hawks,Loss 26-142,10,0,0
2022,Andrew Gaff,18,17/07/2022,Hawks,Loss 77-102,30,0,0
2021,Andrew Gaff,8,09/05/2021,Hawks,Win 98-60,38,0,0
2022,Jamie Cripps,18,17/07/2022,Hawks,Loss 77-102,13,1,1
2021,Jamie Cripps,8,09/05/2021,Hawks,Win 98-60,11,0,1
2023,Jamaine Jones,10,21/05/2023,Hawks,Loss 26-142,12,1,0
2022,Jamaine Jones,18,17/07/2022,Hawks,Loss 77-102,15,0,0
2021,Jamaine Jones,8,09/05/2021,Hawks,Win 98-60,14,1,0
2021,Tom Cole,8,09/05/2021,Hawks,Win 98-60,13,0,0
2023,Oscar Allen,10,21/05/2023,Hawks,Loss 26-142,6,1,0
2021,Oscar Allen,8,09/05/2021,Hawks,Win 98-60,14,0,0
2023,Brady Hough,10,21/05/2023,Hawks,Loss 26-142,13,0,0
2022,Brady Hough,18,17/07/2022,Hawks,Loss 77-102,10,0,1
2022,Jack Darling,18,17/07/2022,Hawks,Loss 77-102,14,2,0
2021,Jack Darling,8,09/05/2021,Hawks,Win 98-60,17,2,2
2023,Reuben Ginbey,10,21/05/2023,Hawks,Loss 26-142,10,0,0
2022,Tom Barrass,18,17/07/2022,Hawks,Loss 77-102,30,0,0
2023,Jack Petruccelle,10,21/05/2023,Hawks,Loss 26-142,11,0,1
2021,Jack Petruccelle,8,09/05/2021,Hawks,Win 98-60,13,2,0
2023,Noah Long,10,21/05/2023,Hawks,Loss 26-142,7,0,0
2023,Josh Rotham,10,21/05/2023,Hawks,Loss 26-142,13,0,0
2021,Josh Rotham,8,09/05/2021,Hawks,Win 98-60,12,0,0
2023,Campbell Chesser,10,21/05/2023,Hawks,Loss 26-142,10,0,0
2022,Jai Culley,18,17/07/2022,Hawks,Loss 77-102,12,0,1
2023,Callum Jamieson,10,21/05/2023,Hawks,Loss 26-142,14,0,0
2022,Callum Jamieson,18,17/07/2022,Hawks,Loss 77-102,10,0,0
2023,Harry Edwards,10,21/05/2023,Hawks,Loss 26-142,10,0,0
2022,Harry Edwards,18,17/07/2022,Hawks,Loss 77-102,10,0,0
2021,Harry Edwards,8,09/05/2021,Hawks,Win 98-60,5,0,0
2023,Rhett Bazzo,10,21/05/2023,Hawks,Loss 26-142,5,0,0
2022,Rhett Bazzo,18,17/07/2022,Hawks,Loss 77-102,12,0,0
